standard_num,level,standard_name,drafts_name,publish_date,status
JB/T 8601.2-2013,行业标准,轧辊车床 第2部分：精度检验,"武汉重型机床集团有限公司,青海华鼎重型机床有限责任公司",2013-12-31,现行
JB/T 8603.1-2011,行业标准,重型回转工作台 第1部分：型式与参数,"齐齐哈尔二机床(集团)有限公司,武汉重型机床集团有限公司",2011-05-18,现行
JB/T 8691-2013,行业标准,无阀盖刀形闸阀,"合肥通用机械研究院,中核苏阀科技实业股份有限公司",2013-04-25,现行
JB/T 8692-2013,行业标准,烟道蝶阀,"合肥通用机械研究院,江苏神通阀门股份有限公司",2013-04-25,现行
JB/T 9182-2014,行业标准,喷漆机器人 通用技术条件,"北京机械工业自动化所,昆山华恒焊接股份有限公司",2014-07-14,现行
JB/T 9198-2008,行业标准,盐浴硫氮碳共渗,"好富顿(深圳)有限公司,武汉材料保护研究所",2008-06-04,现行
JB/T 9199-2008,行业标准,防渗涂料 技术条件,"南京科润精细化工有限公司,武汉材料保护研究所",2008-06-04,现行
JB/T 9209-2008,行业标准,化学热处理渗剂 技术条件,"南京科润精细化工有限公司,武汉材料保护研究所",2008-06-04,现行
JB/T 942-2012,行业标准,煤用跳汰机,"中信重工机械股份有限公司,山东莱芜煤矿机械有限公司",2012-05-24,现行
JB/T 9494-2014,行业标准,聚酯漆包圆电阻线,重庆材料研究院有限公司,2014-07-14,现行
JB/T 9496-2014,行业标准,钨铼热电偶用补偿导线,"天津市信九电子有限公司,重庆材料研究院有限公司",2014-07-14,现行
JB/T 9498-2014,行业标准,包覆绝缘圆电阻线,重庆材料研究院有限公司,2014-07-14,现行
JB/T 9500-2014,行业标准,镍铬铁温度磁补偿合金带材,重庆材料研究院有限公司,2014-07-14,现行
JT/T 449—2021,行业标准,公路悬索桥吊索,"巨力索具股份有限公司,江苏法尔胜缆索有限公司,中交公路规划设计院有限公司",2021-06-18,现行
JT/T 617.1-2018,行业标准,危险货物道路运输规则 第1部分：通则,"交通运输部公路科学研究院,中国核工业集团公司,长安大学",2018-08-29,现行
JT/T 617.3-2018,行业标准,危险货物道路运输规则 第3部分：品名及运输要求索引,"巴斯夫(中国)有限公司,中国核工业集团公司,交通运输部科学研究院",2018-08-29,现行
MH/T 6101-2013,行业标准,飞机罐式加油车,"中国航空油料有限责任公司,航天晨光股份有限公司",2013-09-27,现行
NB 10597-2021,行业标准,核电厂海工构筑物混凝土结构防腐蚀技术规范,国核电力规划设计研究院有限公司,2021-01-07,现行
NB/T 12002.2-2015,行业标准,煤气化炉制造技术条件 第2部分：加压固定床气化炉,"太原重工股份有限公司,哈尔滨锅炉厂有限责任公司,赛鼎工程有限公司",2015-10-27,现行
NB/T 20001-2013,行业标准,压水堆核电厂核岛机械设备制造规范,"中国机械工业联合会,苏州热工研究院有限公司",2013-06-08,现行
NB/T 20002.1-2013,行业标准,压水堆核电厂核岛机械设备焊接规范 第1部分：通用要求,"西安核设备有限公司,上海核工程研究设计院",2013-06-08,现行
NB/T 20002.2-2013,行业标准,压水堆核电厂核岛机械设备焊接规范 第2部分：焊接填充材料验收,"深圳中广核工程设计有限公司,中广核工程有限公司",2013-06-08,现行
NB/T 20002.3-2013,行业标准,压水堆核电厂核岛机械设备焊接规范 第3部分：焊接工艺评定,"中国第一重型机械集团公司,中国核电工程有限公司",2013-06-08,现行
NB/T 20002.4-2013,行业标准,压水堆核电厂核岛机械设备焊接规范 第4部分：焊接填充材料评定,"西安核设备有限公司,中国核电工程有限公司",2013-06-08,现行
NB/T 20002.5-2013,行业标准,压水堆核电厂核岛机械设备焊接规范 第5部分：制造车间评定,"西安核设备有限公司,中国核电工程有限公司",2013-06-08,现行
NB/T 20003.1-2010,行业标准,核电厂核岛机械设备无损检测 第1部分：通用要求,"国核电站运行服务技术有限公司,核工业标准化所",2010-05-24,现行
NB/T 20003.2-2010,行业标准,核电厂核岛机械设备无损检测 第2部分：超声检测,"国核电站运行服务技术有限公司,哈尔滨锅炉厂有限公司",2010-05-24,现行
NB/T 20003.3-2010,行业标准,核电厂核岛机械设备无损检测 第3部分：射线检测,"国核电站运行服务技术有限公司,东方锅炉(集团)股份有限公司",2010-05-24,现行
NB/T 20003.4-2010,行业标准,核电厂核岛机械设备无损检测 第4部分：渗透检测,"国核电站运行服务技术有限公司,核动力运行研究所",2010-05-24,现行
NB/T 20003.5-2010,行业标准,核电厂核岛机械设备无损检测 第5部分：磁粉检测,"国核电站运行服务技术有限公司,核动力运行研究所",2010-05-24,现行
NB/T 20003.6-2010,行业标准,核电厂核岛机械设备无损检测 第6部分：管材制品涡流检测,"国核电站运行服务技术有限公司,中广核检测技术有限公司",2010-05-24,现行
NB/T 20003.7-2010,行业标准,核电厂核岛机械设备无损检测 第7部分：目视检测,"国核电站运行服务技术有限公司,东方锅炉(集团)股份有限公司",2010-05-24,现行
NB/T 20003.8-2010,行业标准,核电厂核岛机械设备无损检测 第8部分：泄漏检测,"国核电站运行服务技术有限公司,上海锅炉厂有限公司",2010-05-24,现行
NB/T 20004-2014,行业标准,核电厂核岛机械设备材料理化检验方法,"上海发电设备成套设计研究院,上海核工程研究设计院",2014-06-29,现行
NB/T 20005.10-2013,行业标准,压水堆核电厂用碳钢和低合金钢 第10部分：用填充金属焊接的2、3级钢管,中国核电工程有限公司,2013-06-08,现行
NB/T 20005.12-2017,行业标准,压水堆核电厂用碳钢和低合金钢 第12部分：主蒸汽系统、主给水流量控制系统、辅助给水系统和汽轮机旁路系统用无缝钢管,"中国核电工程有限公司,核工业标准化研究所",2017-04-01,现行
NB/T 20005.13-2012,行业标准,压水堆核电厂用碳钢和低合金钢 第13部分：2、3级热交换器传热管用无缝冷拔钢管,中国核电工程有限公司,2012-01-06,现行
NB/T 20005.14-2012,行业标准,压水堆核电厂用碳钢和低合金钢 第14部分：2、3级对焊无缝管件,中国核电工程有限公司,2012-10-19,现行
